# The values are separated by tab
# size1 = make all
# size2 = make combine
# rev	hash	size1	size2	date	description
1	e4f3d3cf2e28	0	0	2011-08-29 19:14 -0300	Added "fonte_e_level_shifting.txt" annotations.
2	a7fb4f14268b	0	0	2011-08-29 19:26 -0300	Added obdev's V-USB version 20100715.
3	2eb237b2a4b6	0	0	2011-08-30 00:10 -0300	And so I found a capacitance value for Cat 5e cables at Wikipedia
4	2a49b44b09b1	0	0	2011-08-30 00:11 -0300	Porting over old HIDKeys.2007-03-29 code (modified to write "Hello, world") to new driver version.
5	f60ac91f12b5	0	0	2011-08-30 00:51 -0300	Really small changes.
6	3557b45cf227	0	0	2011-08-30 01:05 -0300	Added "make comments", that prints TODO/FIXME/XXX comments.
7	e56906176a2b	2208	0	2011-08-30 13:12 -0300	Added "checksize" script from HIDKeys.2007-03-29
8	aa5e3cb21b07	2208	0	2011-08-30 13:21 -0300	Improving "checksize" script.
9	fb43a39e92d9	2198	0	2011-09-01 02:49 -0300	Moved the buttons to other pins. Added a couple of #defines.
10	a6edb6712ef1	2198	0	2011-09-01 14:27 -0300	Added a note about (not) promoting constants to 16-bit integers
11	2706b9b7ae64	2420	0	2011-09-01 15:18 -0300	Added functions to convert nibble/uchar/int to hexadecimal.
12	bbc046e31d06	2432	0	2011-09-01 15:53 -0300	Fixing build_report_from_char() for characters between 1 and 9
13	8b39cdaeacaa	2586	0	2011-09-01 16:07 -0300	The firmware can now print the 'useless_counter' (16-bit integer) in either decimal or hexadecimal format.
14	a6bede92c175	2610	0	2011-09-01 16:10 -0300	Adding support for typing TAB char/key.
15	6e7261f09dab	2624	0	2011-09-03 01:38 -0300	Refactor of hardware_init(). But now it's a bit buggy, probably related to USB reset routine.
16	3e104f8d72de	2632	0	2011-09-03 02:06 -0300	Only performing a USB reset if not from power-on. Not sure if it makes any difference, though. On the other hand, it seems to work.
17	85437b233b7d	2632	0	2011-09-03 02:39 -0300	Finished refactoring the code. Seems a bit more organized now.
18	d6c6c8d18650	2632	0	2011-09-03 02:56 -0300	Adding USBaspLoader.2010-07-27
19	cdc391e5016e	2632	0	2011-09-03 04:22 -0300	Lots of changes to the Makefile in order to reuse it for building the bootloader.
20	920312a9e395	2632	0	2011-09-03 04:32 -0300	Moving common definitions (which pins are connected to the USB data wires) to "hardwareconfig.h". Helps avoiding copy-paste between the main project and the bootloader.
21	be59692375b9	2636	0	2011-09-03 04:48 -0300	And the USBaspLoader works! I have a bootloader!
22	5c50f87285ce	2636	0	2011-09-03 04:54 -0300	Adding comments to "checksize" about size calculation.
23	040ec3321e49	2636	0	2011-09-03 05:44 -0300	Added README file.
24	6061e1930ff6	2636	0	2011-09-03 15:18 -0300	Adding "AVR315 - TWI Master Implementation" code. Still needs to integrate it with the rest of the firmware.
25	8e07311aa20d	2636	0	2011-09-03 15:41 -0300	Moving some #defines in avr315 code.
26	aa79c01d225f	2636	0	2011-09-03 15:46 -0300	Added links about porting from IAR compiler to AVR-GCC.
27	b1a1f31c097b	2636	0	2011-09-03 15:47 -0300	Whitespace fixes.
28	e04d07a09614	2636	0	2011-09-03 16:13 -0300	Finished porting IAR C code to AVR-GCC. The file appears to compile correctly.
29	81f5dec6c3d4	3022	0	2011-09-03 16:17 -0300	Adding TWI_Master.* to the Makefile.
30	9dbf01ca62f5	3022	0	2011-09-03 16:24 -0300	Added information about TWI configuration.
31	cfe95b2caa83	3052	0	2011-09-03 16:30 -0300	Updated "Hello, world" message, just for testing.
32	6c7bf5771aec	3044	0	2011-09-03 20:47 -0300	The bootloader now starts on either power-on reset or pin-1 reset.
33	06c10ec53156	3044	0	2011-09-03 20:57 -0300	Whitespace, spaces to tabs.
34	4778b33e63e0	3044	0	2011-09-03 21:01 -0300	The bootloader now starts on either power-on reset or pin-1 reset.
35	eefbf73633d8	3044	0	2011-09-03 21:44 -0300	Okay, after a long time debugging, I notice I have a faulty USB cable.
36	161ec1ac3467	3102	0	2011-09-06 18:38 -0300	First try using I2C. It didn't work.
37	ea87784130dc	3114	0	2011-09-06 18:43 -0300	Second try, now with some debugging LEDs.
38	4abbbd3ccb37	3120	0	2011-09-06 18:48 -0300	It works at the 3rd try! Obviously, it won't work without first initilizing the TWI module...
39	871150483abb	3130	0	2011-09-08 20:13 -0300	Red LED shows TWI_statusReg.lastTransOK
40	11b0285c281d	3122	0	2011-09-08 20:16 -0300	Don't toggle Red LED upon pressing the button.
41	1f93dc596cbd	3358	0	2011-09-09 01:33 -0300	Trying to read all 13 registers from the sensor. Unfortunately, it doesn't like reading all of them at once, and the last few of them were not read correctly.
